strain,group,method,trunc_idx,trunc_time,n_points,fit_success,r_squared,rmse,gompertz_A,gompertz_mu,gompertz_lambda,a_err_pct,mu_err_pct
LAMBDACYHALOTHRINANDLB-LCY1,Group2,gp_derivative,130.0,32.49908555555555,131.0,True,0.998532981960094,0.023072605320869143,1.6564361418904432,0.17391438966695036,3.696984006500037,0.20195153054541268,1.0261268294204635
LAMBDACYHALOTHRINANDLB-LCY1,Group2,changepoint,,,,False,,,,,,,
LAMBDACYHALOTHRINANDLB-LCY1,Group2,consensus,95.0,23.74932111111111,96.0,True,0.9986005227135263,0.023032147041816185,1.631136532301197,0.1789469019681449,3.7803580659996103,0.32696007780260944,1.153663890769876
MALATHIONANDLB-MAL8,Group2,first_peak,44.0,10.999669166666669,45.0,True,0.9987327233081454,0.02124650223047916,1.6665459145853234,0.32315809224285497,1.8102883014433768,0.5771325385160727,1.5185154311659037
MALATHIONANDLB-MAL8,Group2,stationary_phase,51.0,12.749620833333331,52.0,True,0.9981487760039115,0.025677098110769438,1.6351101799181855,0.3323798640368772,1.856629975182839,0.48904477725653817,1.7619992153826318
MALATHIONANDLB-MAL8,Group2,adaptive_r2,44.0,10.999669166666669,45.0,True,0.9987327233081454,0.02124650223047916,1.6665459145853234,0.32315809224285497,1.8102883014433768,0.5771325385160727,1.5185154311659037
MALATHIONANDLB-MAL8,Group2,gp_derivative,43.0,10.749675833333333,44.0,True,0.99872575855669,0.021241408477757656,1.669838803837654,0.32236714254044935,1.8063620072380204,0.6133997374938231,1.5330081153152166
MALATHIONANDLB-MAL8,Group2,changepoint,,,,False,,,,,,,
MALATHIONANDLB-MAL8,Group2,consensus,44.0,10.999669166666669,45.0,True,0.9987327233081454,0.02124650223047916,1.6665459145853234,0.32315809224285497,1.8102883014433768,0.5771325385160727,1.5185154311659037
MALATHIONANDLB-MAL10,Group2,first_peak,399.0,99.74725277777776,400.0,True,-1.3318700839177637,0.4167042281674465,4.393699999999999,0.016993240276068907,5.809224005025143e-13,61.76982002807981,21.102246834839704
MALATHIONANDLB-MAL10,Group2,stationary_phase,60.0,14.999558333333336,61.0,True,0.9985031255635024,0.022457625635534977,1.4885208562816425,0.26521710165336726,3.411241766455846,0.493217943893917,1.6148892551598342
