strain,group,method,trunc_idx,trunc_time,n_points,fit_success,r_squared,rmse,gompertz_A,gompertz_mu,gompertz_lambda,a_err_pct,mu_err_pct,original_reason,delta_od
H2O-PERM7,Group4,first_peak,36,8.999725277777777,37,True,0.8238769311274026,0.004971873588248104,0.16759999999999978,0.006620644801156243,7.178244598284191e-18,78.84652919768726,29.033056189121975,BAD: Low R²: 0.940 < 0.95,0.0723599999999999
H2O-PERM7,Group4,stationary_phase,128,31.999109166666667,129,True,0.9282560338295511,0.005457202619104747,0.08128500345844418,0.006256145702017908,7.076237462936265e-16,1.1002706669959585,4.689410327936965,BAD: Low R²: 0.940 < 0.95,0.0723599999999999
H2O-PERM7,Group4,adaptive_r2,128,31.999109166666667,129,True,0.9282560338295511,0.005457202619104747,0.08128500345844418,0.006256145702017908,7.076237462936265e-16,1.1002706669959585,4.689410327936965,BAD: Low R²: 0.940 < 0.95,0.0723599999999999
H2O-PERM7,Group4,gp_derivative,112,27.99921722222222,113,True,0.9260757502858304,0.005379355580929684,0.07859569392817951,0.006493428495938708,8.207542292579269e-15,1.2797859014214585,5.055018448685704,BAD: Low R²: 0.940 < 0.95,0.0723599999999999
H2O-PERM7,Group4,changepoint,95,23.74933111111111,96,True,0.9236260946900119,0.005191997893743728,0.07484494628833896,0.006820786834138251,6.121727500103468e-13,1.5214303916094243,5.514157206164053,BAD: Low R²: 0.940 < 0.95,0.0723599999999999
H2O-PERM7,Group4,consensus,112,27.99921722222222,113,True,0.9260757502858304,0.005379355580929684,0.07859569392817951,0.006493428495938708,8.207542292579269e-15,1.2797859014214585,5.055018448685704,BAD: Low R²: 0.940 < 0.95,0.0723599999999999
H2O-LCY3,Group4,first_peak,199,49.748629722222226,200,True,0.5727569080000369,0.006944514890476787,0.05979511493260556,0.005743498404004272,7.783494759842719e-32,1.0475927196431736,8.138723817349137,BAD: Low R²: 0.586 < 0.95,0.0378733333333333
H2O-LCY3,Group4,stationary_phase,128,31.999109166666667,129,True,0.4202695251588686,0.007714486355006779,0.054621924371585244,0.007480782342558398,9.123500157822843e-37,1.6377981550022285,11.91250431470532,BAD: Low R²: 0.586 < 0.95,0.0378733333333333
H2O-LCY3,Group4,adaptive_r2,211,52.74855,212,True,0.586372876778533,0.006811130985296662,0.0602405352154931,0.005631639825562946,3.988884522593036e-32,0.9810960721045006,7.798452257622027,BAD: Low R²: 0.586 < 0.95,0.0378733333333333
H2O-LCY3,Group4,gp_derivative,111,27.749223055555554,112,True,0.3485212968090854,0.007773312722276618,0.05204979421667895,0.008860625697061333,7.181454374367108e-41,1.8174154189869804,13.96009903789407,BAD: Low R²: 0.586 < 0.95,0.0378733333333333
H2O-LCY3,Group4,changepoint,95,23.74933111111111,96,True,0.2616844276027056,0.007530740380363963,0.04866402593263575,0.0118333191105951,4.102632813103433e-46,1.9347019730995725,17.054723936679864,BAD: Low R²: 0.586 < 0.95,0.0378733333333333
H2O-LCY3,Group4,consensus,128,31.999109166666667,129,True,0.4202695251588686,0.007714486355006779,0.054621924371585244,0.007480782342558398,9.123500157822843e-37,1.6377981550022285,11.91250431470532,BAD: Low R²: 0.586 < 0.95,0.0378733333333333
